ZCTA,Total:,Not Hispanic or Latino:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,,,,,,,,,,
ZCTA5 10973,"2,432","2,145","1,870",107,0,57,,,,,,,,,,
ZCTA5 10974,"3,181","2,786","2,306",196,0,132,,,,,,,,,,
ZCTA5 10975,62,35,35,0,0,0,,,,,,,,,,
ZCTA5 10976,"2,051","1,846","1,414",104,12,226,,,,,,,,,,
ZCTA5 10977,"70,743","56,150","38,283","14,344",21,"1,773",,,,,,,,,,
ZCTA5 10979,0,0,0,0,0,0,,,,,,,,,,
ZCTA5 10980,"13,579","10,989","9,008","1,425",19,354,,,,,,,,,,
ZCTA5 10983,"5,839","5,296","4,602",103,0,516,,,,,,,,,,
ZCTA5 10984,"2,620","2,007","1,768",117,0,86,,,,,,,,,,
ZCTA5 10985,207,180,180,0,0,0,,,,,,,,,,
ZCTA5 10986,"1,736","1,391","1,337",0,0,45,,,,,,,,,,
ZCTA5 10987,"3,753","3,313","2,684",341,0,57,,,,,,,,,,
ZCTA5 10988,722,650,588,34,0,0,,,,,,,,,,
ZCTA5 10989,"8,339","7,330","5,616",661,0,896,,,,,,,,,,
ZCTA5 10990,"21,024","19,659","18,275",712,24,245,,,,,,,,,,
ZCTA5 10992,"9,591","7,138","6,027",710,16,131,,,,,,,,,,
ZCTA5 10993,"5,019","2,545","1,224",858,33,201,,,,,,,,,,
ZCTA5 10994,"6,937","5,686","4,429",489,0,702,,,,,,,,,,
ZCTA5 10996,"6,386","5,617","4,427",325,11,272,,,,,,,,,,
ZCTA5 10998,"3,602","3,151","2,911",132,0,13,,,,,,,,,,
ZCTA5 11001,"26,818","23,078","14,593","1,408",133,"6,322",,,,,,,,,,
ZCTA5 11003,"46,200","36,808","6,688","19,759",14,"7,417",,,,,,,,,,
ZCTA5 11004,"16,426","14,592","4,179","1,067",82,"8,269",,,,,,,,,,
ZCTA5 11005,"2,075","2,070","1,998",0,0,72,,,,,,,,,,
ZCTA5 11010,"25,637","21,256","17,226",795,98,"2,404",,,,,,,,,,
ZCTA5 11020,"6,097","5,865","2,395","1,055",4,"2,272",,,,,,,,,,
ZCTA5 11021,"19,265","17,841","12,036",252,120,"5,033",,,,,,,,,,
ZCTA5 11023,"10,169","9,952","8,242",18,0,"1,302",,,,,,,,,,
ZCTA5 11024,"8,394","7,212","6,731",67,0,304,,,,,,,,,,
ZCTA5 11030,"17,589","16,497","12,566",149,0,"3,216",,,,,,,,,,
ZCTA5 11040,"42,634","37,490","17,084",294,164,"18,015",,,,,,,,,,
ZCTA5 11042,443,412,265,127,0,20,,,,,,,,,,
ZCTA5 11050,"31,586","27,115","22,705",467,59,"3,386",,,,,,,,,,
ZCTA5 11096,"9,084","4,556","2,552","1,619",0,332,,,,,,,,,,
ZCTA5 11101,"33,789","26,751","11,829","3,877",0,"9,385",,,,,,,,,,
ZCTA5 11102,"27,876","20,678","13,441","1,734",210,"4,154",,,,,,,,,,
ZCTA5 11103,"35,912","26,858","19,570",875,0,"5,071",,,,,,,,,,
ZCTA5 11104,"27,575","20,172","11,459",456,23,"7,027",,,,,,,,,,
ZCTA5 11105,"38,311","30,049","23,967",978,40,"3,327",,,,,,,,,,
ZCTA5 11106,"40,472","29,545","17,451","2,435",107,"7,340",,,,,,,,,,
ZCTA5 11109,"6,712","6,318","3,561",38,0,"2,334",,,,,,,,,,
ZCTA5 11201,"68,777","60,645","39,117","8,485",78,"9,458",,,,,,,,,,
ZCTA5 11203,"79,499","74,180","3,084","65,890",90,"1,456",,,,,,,,,,
ZCTA5 11204,"82,140","71,515","42,934",613,566,"24,770",,,,,,,,,,
